word,SINGLE_STRATEGY,WEIGHTED_SINGLE,DOUBLE_STRATEGY,WEIGHTED_DOUBLE,TRIPLE_STRATEGY,WEIGHTED_TRIPLE
douse,9,7,9,10,12,12
dover,14,11,12,9,8,8
dowdy,10,13,11,12,13,13
dowed,12,13,10,12,10,10
dowel,9,6,5,7,9,9
dower,13,10,13,10,13,13
dowie,8,8,11,7,8,8
downy,9,10,8,7,6,6
dowry,6,8,6,7,6,6
dowse,9,8,8,9,9,9
doyle,10,8,12,11,11,11
dozed,13,12,11,12,11,11
dozen,10,11,5,8,8,8
dozer,15,12,14,11,14,14
draba,6,5,6,8,5,5
draco,6,4,4,5,5,5
draff,10,10,11,13,9,9
draft,10,9,11,10,6,6
drago,7,5,4,5,4,4
drail,5,4,8,6,6,6
drain,7,5,8,8,7,7
drake,8,7,7,9,7,7
drama,4,7,6,7,4,4
dramm,8,12,9,10,5,5
drang,7,6,4,5,3,3
drank,6,8,7,8,4,4
drant,7,6,8,7,5,5
drape,7,6,6,8,8,8
drate,7,6,8,9,6,6
drawk,7,8,8,9,8,8
drawl,6,7,9,6,6,6
drawn,8,7,6,6,5,5
dread,7,7,6,7,6,6
dream,7,6,5,5,8,8
drear,3,7,3,6,6,6
dreep,7,8,6,6,7,7
dregs,5,5,7,6,5,5
dreng,5,6,6,5,5,5
dress,5,5,7,8,6,6
drest,5,4,6,6,4,4
drias,5,4,7,4,6,6
dried,7,9,7,8,10,10
drier,5,5,7,10,10,10
drift,7,6,7,9,6,6
drill,6,5,9,6,10,10
drink,5,6,7,8,6,6
drinn,4,4,4,9,5,5
drisk,8,5,9,6,8,8
drive,8,7,7,7,7,7
drogh,8,8,8,7,5,5
droit,6,4,6,8,6,6
droll,6,9,9,6,8,8
drome,6,6,8,7,6,6
drona,4,4,5,6,4,4
drone,6,6,6,7,4,4
drony,6,6,6,8,5,5
drool,7,10,8,6,7,7
droop,7,6,10,10,10,10
dropt,7,5,10,9,9,9
dross,5,5,10,9,8,8
droud,10,8,9,9,8,8
drouk,11,7,10,8,7,7
drove,7,9,9,8,9,9
drovy,11,10,10,11,11,11
drown,7,6,7,8,6,6
druid,9,7,7,8,6,6
drung,6,9,5,7,5,5
drunk,7,9,8,7,6,6
drupa,7,6,5,7,8,8
drupe,6,7,9,7,8,8
druse,6,4,6,7,5,5
druse,6,4,6,7,5,5
drusy,7,5,8,7,7,7
druxy,10,8,11,11,13,13
dryad,7,7,6,8,8,8
dryas,5,3,5,5,6,6
dryly,6,6,7,6,7,7
dryth,7,7,7,7,6,6
duala,4,7,6,6,8,8
duali,7,5,5,5,7,7
duane,7,5,7,7,7,7
dubba,10,11,10,12,11,11
dubby,12,13,11,11,10,10
dubhe,10,9,8,7,10,10
ducal,9,6,7,7,8,8
ducat,9,6,7,7,6,6
duces,9,7,7,7,5,5
duchy,12,11,8,8,10,10
dugal,10,7,8,9,8,8
duhat,8,8,7,8,6,6
dujan,13,11,12,11,12,12
dukhn,8,9,7,7,8,8
dulat,8,6,7,6,7,7
duler,7,6,7,6,7,7
dulia,7,6,7,6,8,8
dully,8,8,10,10,10,10
dulse,8,5,7,7,9,9
dumba,8,10,8,9,4,4
dummy,11,12,13,11,8,8
dumpy,10,11,11,10,7,7
dunal,7,6,6,5,6,6
dunce,7,7,7,8,7,7
dunch,8,10,9,9,6,6
dungy,10,10,8,10,6,6
dunne,8,10,7,8,7,7
dunny,8,11,6,7,11,11
dunst,7,5,5,5,7,7
duole,9,5,8,8,8,8
duper,12,10,10,7,8,8
dupla,9,6,9,8,9,9
duple,9,6,11,11,7,7
duppy,13,13,10,11,12,12
dural,6,5,6,4,7,7
durax,10,7,8,6,10,10
durio,6,7,7,7,6,6
duroc,6,5,5,4,6,6
durra,4,6,6,6,8,8
durry,7,6,9,5,10,10
durst,7,6,7,6,8,8
duryl,7,6,6,6,7,7
dusio,5,6,5,6,7,7
dusky,10,8,11,11,8,8
dusty,8,8,8,9,9,9
dusun,7,6,6,5,6,6
dutch,10,8,10,8,9,9
dutch,10,8,10,8,9,9
dutra,8,7,5,7,7,7
duvet,10,10,5,8,6,6
dwale,6,5,6,5,7,7
dwalm,9,9,7,6,6,6
dwang,7,9,4,9,8,8
dwarf,9,9,8,9,9,9
dwell,8,9,6,5,7,7
dwelt,9,7,7,5,8,8
dwine,10,8,10,9,7,7
dwyka,9,9,10,10,11,11
dyaus,7,7,7,7,6,6
dying,7,6,10,9,8,8
dyker,12,10,11,8,10,10
dylan,9,8,6,5,8,8
eager,5,14,12,13,11,11
eagle,4,11,10,9,6,6
eagre,2,6,8,5,5,5
eared,4,6,5,10,9,9
earle,3,6,5,5,4,4
early,4,4,4,3,3,3
earth,5,5,5,4,4,4
easel,4,6,4,5,8,8
easer,3,5,6,4,10,10
eaten,4,7,6,6,6,6
eater,4,13,11,12,12,12
eaved,6,14,9,9,9,9
eaver,6,17,11,12,11,11
eaves,4,12,9,11,12,12
ebony,8,6,6,6,6,6
echea,6,8,6,8,6,6
echis,5,5,6,5,5,5
ecize,6,10,5,5,7,7
eclat,5,4,4,3,4,4
ecoid,6,5,5,6,8,8
ecole,5,8,4,7,6,6
ectad,8,4,6,5,4,4
ectal,6,4,4,4,4,4
edana,3,6,5,5,6,6
edder,9,15,6,9,10,10
eddic,9,6,6,6,8,8
eddie,5,7,7,8,11,11
edema,6,9,6,8,8,8
edgar,6,5,4,3,5,5
edged,6,12,5,10,6,6
edger,7,14,5,7,6,6
edict,5,5,6,6,6,6
edify,6,5,10,7,8,8
edith,5,6,7,5,6,6
ediya,4,3,6,6,7,7
edoni,6,4,5,5,4,4
educe,6,7,5,7,9,9
educt,5,9,7,7,8,8
edwin,6,6,5,6,9,9
eeler,3,5,3,3,10,10
eerie,3,7,3,7,7,7
effie,7,10,10,12,12,12
egest,5,7,4,8,5,5
egger,10,15,9,12,7,7
egret,4,9,4,7,5,5
egypt,6,9,9,8,6,6
eider,3,11,7,10,10,10
eight,5,5,8,7,5,5
eigne,4,6,5,9,3,3
eimak,5,4,7,3,6,6
eimer,4,9,8,7,7,7
eject,7,8,7,6,6,6
ekaha,4,7,5,4,4,4
eking,8,4,5,5,6,6
ekron,5,5,6,3,5,5
elain,4,4,3,5,6,6
eland,5,6,3,4,4,4
elaps,6,5,4,4,4,4
elate,3,7,4,6,7,7
elbow,7,6,6,8,8,8
elder,4,8,5,7,6,6
eldin,6,5,4,5,7,7
elean,4,5,3,3,6,6
elect,5,8,6,7,5,5
elegy,6,10,6,8,6,6
elemi,4,4,4,6,5,5
eleut,4,8,5,7,6,6
elfic,7,6,7,7,7,7
elfin,7,6,6,7,8,8
elian,4,3,4,2,5,5
elias,3,2,3,2,4,4
elide,5,9,5,6,8,8
elihu,5,5,6,7,5,5
eliot,4,4,5,4,6,6
elite,4,7,4,7,10,10
eliza,5,4,5,5,5,5
ellen,4,8,4,4,6,6
elmer,5,9,7,7,4,4
eloah,4,4,5,3,6,6
eloge,8,8,6,8,4,4
elope,7,7,5,7,6,6
elops,6,5,7,4,6,6
elric,4,3,4,4,5,5
elsin,5,5,6,4,6,6
elude,7,7,6,7,7,7
elute,6,7,5,8,7,7
elvan,5,4,5,4,7,7
elver,6,10,6,8,6,6
elves,5,6,4,5,10,10
elvet,5,9,5,6,6,6
elvis,6,5,7,5,5,5
elymi,5,4,5,7,6,6
embar,5,4,5,4,3,3
embay,6,8,8,8,4,4
embed,7,11,7,9,5,5
ember,6,9,8,10,6,6
embog,9,8,9,10,2,2
embow,10,8,8,7,4,4
embox,11,9,10,11,5,5
embus,8,7,5,7,4,4
emcee,4,10,8,9,5,5
emeer,4,12,7,10,5,5
emend,6,10,4,8,3,3
emery,3,7,5,7,3,3
emery,3,7,5,7,3,3
emesa,4,3,4,4,3,3
emily,5,4,5,5,4,4
emmer,5,11,9,10,4,4
emmet,6,10,7,8,5,5
emote,5,9,5,8,3,3
empeo,7,7,8,9,4,4
empty,7,8,8,6,5,5
enact,4,7,3,4,5,5
enage,4,6,4,6,4,4
enapt,5,8,4,5,4,4
enarm,4,5,4,5,2,2
enate,4,7,3,6,5,5
encup,6,8,5,6,9,9
ended,6,8,4,8,8,8
ender,8,7,4,7,7,7
endew,6,7,5,6,7,7
endow,6,6,5,6,5,5
endue,7,8,4,7,7,7
eneas,3,3,3,3,5,5
enema,4,7,5,5,5,5
enemy,5,6,5,8,6,6
engem,5,8,4,7,4,4
enhat,5,4,5,4,5,5
eniac,4,4,6,3,6,6
enjoy,8,8,6,8,5,5
ennui,5,5,8,6,5,5
enoch,6,7,4,5,7,7
enoil,4,4,4,3,6,6
enorm,3,5,4,5,4,4
enray,4,3,4,2,5,5
enrib,5,4,5,4,5,5
enrol,4,4,5,3,5,5
enrut,5,5,6,4,5,5
ensky,7,5,5,5,5,5
ensue,6,7,4,7,6,6
entad,5,4,4,3,5,5
ental,4,3,3,3,4,4
enter,6,6,5,4,6,6
entia,4,4,5,5,4,4
entry,4,6,5,5,4,4
enure,4,5,3,7,5,5
envoy,7,7,7,9,6,6
enzym,8,7,8,11,6,6
eosin,4,4,7,5,7,7
epact,5,7,5,5,5,5
ephah,5,5,9,7,6,6
ephod,8,7,6,7,8,8
ephor,5,5,4,4,5,5
epoch,9,7,6,6,8,8
epode,9,7,6,9,11,11
epopt,5,7,8,8,8,8
eppie,6,7,9,11,10,10
epsom,8,6,5,6,7,7
epulo,6,5,5,6,6,6
equal,7,5,5,5,5,5
equid,9,7,8,8,7,7
equip,10,7,9,8,8,8
equus,7,8,7,8,5,5
erade,3,8,3,7,10,10
erase,2,5,2,4,10,10
erava,2,5,3,5,5,5
erbia,4,3,3,5,6,6
erect,4,6,4,6,4,4
erept,5,8,5,9,6,6
ergal,4,3,4,3,4,4
ergon,5,4,4,6,4,4
ergot,5,4,5,5,5,5
erian,3,2,2,2,5,5
erica,3,3,2,4,5,5
erick,5,4,3,4,5,5
erika,4,4,3,5,6,6
erizo,5,4,4,6,8,8
ernie,4,3,3,6,5,5
ernst,4,2,3,4,5,5
erode,4,10,4,6,10,10
erose,3,5,3,5,8,8
error,3,5,3,4,6,6
ersar,2,3,2,3,6,6
eruca,4,4,3,5,6,6
eruca,4,4,3,5,6,6
eruct,5,5,6,7,6,6
erupt,6,6,6,6,7,7
ervum,7,6,6,7,7,7
erwin,6,3,3,5,7,7
eryon,4,3,5,7,8,8
esere,2,4,4,5,3,3
eshin,5,5,5,4,4,4
esker,6,5,4,6,5,5
essay,4,4,4,3,5,5
essed,5,9,4,7,5,5
essex,6,9,5,8,6,6
essie,4,4,4,7,5,5
ester,5,5,3,5,4,4
estoc,5,5,7,6,5,5
estop,6,6,6,5,4,4
estre,3,3,4,5,3,3
estus,5,6,5,7,4,4
ethal,5,4,4,4,4,4
ethan,4,4,4,3,5,5
ethel,4,8,4,7,4,4
ethel,4,8,4,7,4,4
ether,6,7,4,5,5,5
ethic,5,6,5,6,4,4
ethid,6,6,7,7,5,5
ethos,6,5,6,5,3,3
ethyl,6,7,6,5,7,7
ettle,5,7,6,5,4,4
etude,6,6,5,6,5,5
eupad,10,9,6,5,10,10
eurus,6,4,4,3,6,6
eusol,5,5,6,3,6,6
evade,6,5,6,11,7,7
evase,5,7,6,7,7,7
evens,6,6,4,6,5,5
event,6,9,5,7,6,6
evert,4,7,4,7,4,4
every,5,11,6,11,3,3
evict,6,6,7,7,8,8
evoke,10,10,7,11,9,9
ewder,10,15,8,9,11,11
ewery,4,10,7,10,4,4
exact,6,8,5,6,6,6
exalt,4,5,4,4,5,5
excel,5,8,6,3,10,10
exdie,6,6,8,9,10,10
exeat,5,5,5,6,9,9
exert,5,8,5,7,5,5
exile,5,9,7,11,8,8
exist,5,3,5,4,5,5
exite,5,9,6,10,10,10
exlex,5,12,5,10,7,7
exode,10,9,7,10,13,13
exody,8,9,7,8,9,9
expel,6,7,5,9,7,7
exter,7,9,6,9,10,10
extol,5,6,6,5,5,5
extra,5,5,4,4,4,4
exude,9,9,6,10,12,12
exult,5,6,7,5,5,5
eying,6,3,6,6,7,7
eyoty,6,8,7,5,7,7
eyrie,4,6,4,7,8,8
eyrir,3,5,3,4,5,5
fabes,9,9,12,10,8,8
fable,11,9,11,10,8,8
faced,12,11,9,8,5,5
facer,9,8,9,7,8,8
facet,7,7,8,7,4,4
facia,4,10,7,7,8,8
facks,8,7,8,7,8,8
facty,10,7,7,6,6,6
faddy,12,14,13,8,12,12
faded,14,10,11,11,12,12
faden,8,8,6,5,10,10
fader,13,9,12,9,8,8
fadge,9,14,10,9,6,6
faery,3,4,5,4,5,5
faffy,16,15,14,9,14,14
fager,14,12,15,11,8,8
fagot,9,8,8,7,6,6
fagus,12,10,11,9,8,8
faham,13,10,7,10,6,6
fains,7,5,8,7,6,6
faint,7,7,8,7,6,6
fairm,8,7,4,6,4,4
fairy,10,10,11,10,9,9
faith,6,7,7,6,7,7
faker,14,13,12,10,12,12
fakir,10,10,9,8,8,8
falco,7,7,7,5,6,6
fally,13,14,11,11,11,11
false,7,5,6,5,6,6
fanal,10,11,6,6,6,6
fanam,10,8,5,5,4,4
fancy,11,8,8,6,9,9
fangy,13,12,10,9,6,6
fanny,12,13,11,11,9,9
fanon,8,13,7,8,6,6
fanti,5,6,9,7,7,7
fanwe,13,7,10,8,9,9
farad,12,12,9,8,8,8
farce,7,5,5,7,6,6
farcy,9,6,9,8,7,7
farde,10,9,10,10,8,8
fardh,10,12,9,9,6,6
fardo,11,10,9,7,9,9
farer,7,14,6,11,9,9
farmy,12,13,9,7,6,6
farse,10,8,10,9,9,9
farsi,7,5,6,5,7,7
fatal,6,7,6,4,6,6
fated,9,10,8,7,7,7
fatil,6,7,6,5,5,5
fatly,8,7,6,5,5,5
fatty,14,11,12,11,11,11
fatwa,6,11,7,9,8,8
faugh,13,13,10,9,6,6
fauld,10,10,10,9,9,9
fault,8,6,7,6,6,6
fauna,8,9,6,9,6,6
fause,10,8,9,8,10,10
faust,7,4,6,5,7,7
fauve,14,10,11,10,9,9
favor,12,11,10,8,11,11
favus,13,11,12,10,10,10
fawny,10,10,11,10,7,7
fayal,12,12,14,10,15,15
feast,7,5,7,4,5,5
featy,8,9,9,6,8,8
feaze,8,11,9,11,10,10
fecal,12,8,10,7,9,9
feces,7,10,7,8,8,8
fedia,7,6,7,6,7,7
feedy,11,10,11,9,9,9
feere,3,9,5,6,5,5
feeze,11,16,9,6,10,10
feign,7,5,6,5,6,6
feint,6,5,6,3,5,5
feist,6,5,7,6,5,5
felid,8,8,8,7,10,10
felis,6,6,6,4,5,5
felix,8,11,9,8,10,10
felly,13,11,10,13,10,10
felon,8,7,7,5,7,7
felty,9,9,8,6,7,7
felup,11,10,9,9,7,7
femic,10,12,8,7,7,7
femur,6,8,6,6,5,5
fence,9,8,10,8,10,10
fendy,10,8,9,11,9,9
fenks,9,9,8,7,11,11
fenny,11,13,12,10,11,11
feoff,8,7,12,11,11,11
ferae,3,4,8,7,9,9
feral,6,5,4,3,5,5
feria,5,4,6,5,5,5
ferie,4,6,4,8,8,8
ferio,5,6,6,7,10,10
ferly,6,6,6,4,6,6
ferme,8,5,6,7,7,7
ferny,8,4,6,5,5,5
ferri,5,6,5,6,6,6
ferry,10,10,10,10,9,9
feste,10,9,8,8,10,10
fetal,9,8,8,6,8,8
fetch,9,9,8,9,9,9
fetid,8,7,10,7,8,8
fetor,5,6,5,5,5,5
fetus,7,10,7,5,5,5
feuar,9,9,10,8,9,9
feued,8,8,8,8,9,9
fever,10,12,8,11,10,10
fezzy,15,15,13,14,13,13
fiard,9,5,6,8,8,8
fiber,14,12,13,12,8,8
fiber,14,12,13,12,8,8
fibry,6,8,7,6,6,6
fiche,11,8,8,7,7,7
fichu,10,10,8,9,10,10
ficus,13,10,7,8,7,7
fidac,6,5,9,8,7,7
fides,6,7,7,8,6,6
fidge,11,8,8,10,6,6
fidia,7,10,9,11,8,8
field,11,10,9,8,6,6
fiend,7,7,8,8,5,5
fient,6,6,6,6,4,4
fiery,5,4,3,7,4,4
fifer,15,14,14,13,14,14
fifie,12,12,14,14,11,11
fifth,10,9,10,9,9,9
fifty,10,10,10,9,10,10
figgy,11,11,10,10,7,7
fight,14,12,15,14,13,13
fikie,11,11,13,14,12,12
filao,9,8,6,5,5,5
filar,7,6,5,4,6,6
filch,10,12,9,7,9,9
filer,8,7,7,7,8,8
filet,5,8,5,4,5,5
filix,9,9,7,10,8,8
filly,13,15,13,13,11,11
filmy,10,10,8,8,6,6
filth,6,9,8,5,8,8
final,9,9,7,6,9,9
finch,15,12,9,10,8,8
finer,11,9,10,9,8,8
fingu,12,12,9,9,9,9
finis,6,8,5,5,9,9
finny,12,14,12,12,11,11
fiord,5,5,5,7,6,6
fique,7,10,14,13,10,10
firca,7,6,7,7,8,8
fired,7,7,8,7,5,5
firer,7,8,9,10,12,12
firry,3,9,3,5,5,5
first,5,3,5,4,4,4
firth,7,10,9,7,6,6
fishy,11,10,8,9,9,9
fisty,8,9,7,7,7,7
fitch,13,12,13,13,9,9
fitly,6,8,8,5,6,6
fitty,12,13,14,8,11,11
fiver,15,14,15,12,10,10
fives,9,8,8,9,7,7
fixed,10,11,8,9,9,9
fixer,16,15,14,13,15,15
fizzy,18,12,11,14,14,14
fjeld,9,9,7,6,7,7
flack,10,10,9,8,7,7
flaff,11,12,10,13,9,9
flail,4,9,4,5,7,7
flair,5,6,6,6,6,6
flake,9,8,8,8,6,6
flaky,10,11,9,10,6,6
flamb,9,10,6,7,5,5
flame,7,7,7,7,5,5
flamy,9,11,9,10,6,6
flane,6,5,5,5,6,6
flank,10,10,8,6,7,7
flare,6,7,5,6,5,5
flary,6,7,5,5,4,4
flash,8,6,7,6,7,7
flask,9,5,7,6,5,5
flavo,7,7,8,12,8,8
flawn,5,6,4,6,4,4
flawy,11,12,10,12,8,8
flaxy,12,13,11,13,9,9
fleam,10,9,7,7,6,6
fleay,9,8,8,8,9,9
fleck,10,9,8,7,6,6
fleer,5,9,5,6,7,7
fleet,6,8,5,5,8,8
flesh,7,3,5,5,6,6
fleta,5,6,4,4,4,4
flews,8,7,6,6,7,7
flick,9,8,7,8,6,6
flier,6,6,5,4,5,5
flimp,9,7,9,8,7,7
fling,12,8,6,6,4,4
flint,7,8,7,6,4,4
flipe,9,9,8,8,9,9
flirt,6,5,6,5,6,6
flisk,8,8,7,4,8,8
flite,7,6,6,6,9,9
float,10,8,7,6,4,4
flock,9,8,7,8,6,6
floey,6,6,6,6,7,7
flong,6,10,6,6,5,5
flood,8,9,8,9,10,10
floor,5,6,4,4,6,6
flora,4,5,5,5,4,4
flora,4,5,5,5,4,4
flory,8,6,5,6,5,5
flosh,8,5,6,7,8,8
floss,8,7,6,7,8,8
flota,6,7,6,5,5,5
flour,6,6,5,5,6,6
flout,9,11,9,9,6,6
flown,7,10,7,9,7,7
floyd,9,8,9,8,11,11
flued,7,7,7,5,7,7
fluer,9,8,8,8,8,8
fluey,8,8,8,7,7,7
fluff,13,11,11,11,11,11
fluid,7,7,7,6,6,6
fluke,8,7,8,9,7,7
fluky,12,9,9,10,10,10
flume,9,6,7,7,5,5
flump,9,9,10,9,5,5
flung,8,8,8,7,4,4
flunk,9,9,8,7,6,6
fluor,5,6,5,5,6,6
flurn,6,7,7,6,6,6
flurr,5,7,4,5,5,5
flush,8,6,6,6,6,6
flusk,7,6,7,6,7,7
flute,7,6,6,7,6,6
fluty,7,8,8,6,7,7
flyer,9,8,7,7,9,9
flype,9,7,7,9,6,6
foaly,8,6,8,8,8,8
foamy,9,9,10,7,6,6
focal,10,10,9,7,7,7
focus,9,7,6,7,7,7
fodda,13,9,11,12,10,10
foder,13,9,12,8,12,12
fodge,13,11,10,10,9,9
foehn,5,6,5,6,6,6
fogey,12,12,10,11,6,6
foggy,15,15,11,13,7,7
fogle,12,7,7,7,6,6
fogon,9,9,9,8,5,5
fogou,11,11,8,8,8,8
fogus,13,13,10,11,6,6
fohat,7,7,9,9,4,4
foism,7,5,8,7,5,5
foist,8,7,8,8,10,10
foist,8,7,8,8,10,10
foldy,9,12,9,8,9,9
folia,8,7,7,7,5,5
folie,6,5,7,5,6,6
folio,6,8,7,7,9,9
folky,9,11,10,10,8,8
folly,15,10,14,11,13,13
fomes,9,7,6,6,5,5
fondu,8,10,8,10,8,8
fonly,9,8,6,8,8,8
foody,13,15,12,12,10,10
foots,9,10,9,8,7,7
footy,9,11,10,10,8,8
foppy,15,14,12,14,13,13
foray,6,5,9,8,8,8
forby,11,11,11,9,12,12
force,8,6,7,6,9,9
fordo,9,7,10,6,10,10
fordy,11,8,9,5,10,10
forel,6,7,6,4,5,5
forge,10,8,10,9,5,5
forgo,10,13,11,8,4,4
forky,12,12,10,11,10,10
forme,8,6,5,8,6,6
formy,12,9,6,12,7,7
forst,8,6,6,5,6,6
forte,7,4,8,7,5,5
forth,11,10,8,8,7,7
forty,9,10,11,9,8,8
forum,7,7,6,5,6,6
fosie,5,5,7,6,6,6
fossa,6,6,9,7,10,10
fosse,8,10,9,7,10,10
fotch,13,12,13,11,12,12
fotui,5,5,8,7,5,5
found,14,15,10,11,9,9
fount,9,9,7,7,6,6
foute,8,5,8,7,7,7
fouth,11,12,9,8,9,9
fovea,6,9,8,8,6,6
foxer,15,15,17,14,16,16
foyer,12,10,16,13,15,15
frack,8,9,9,7,5,5
fraid,8,7,7,8,6,6
fraik,5,6,8,9,7,7
frail,8,7,9,7,7,7
frame,10,9,8,8,5,5
franc,10,9,9,5,6,6
frank,10,11,11,10,9,9
frank,10,11,11,10,9,9
frase,5,4,5,7,9,9
frass,7,6,7,9,6,6
fraud,8,6,6,8,6,6
frawn,8,7,8,8,7,7
frayn,7,6,6,7,6,6
fraze,11,10,10,9,10,10
freak,10,9,9,7,8,8
fream,9,8,9,8,7,7
freck,9,9,6,7,6,6
freed,9,7,4,7,9,9
freer,4,9,3,13,11,11
freet,6,8,5,5,6,6
freir,4,7,4,4,4,4
freit,7,6,5,7,4,4
fremd,10,6,7,8,7,7
freon,6,4,5,6,8,8
fresh,5,4,4,5,5,5
frett,7,9,5,7,7,7
freya,6,6,7,7,7,7
freyr,5,9,5,4,11,11
friar,6,7,6,7,6,6
fried,10,8,9,6,8,8
frier,9,7,4,6,9,9
frija,6,8,7,9,8,8
frike,10,9,10,11,11,11
frill,10,9,10,8,9,9
frisk,10,7,10,7,7,7
frist,6,4,6,5,4,4
frith,10,10,8,8,9,9
fritt,6,7,6,7,7,7
fritz,8,8,7,7,8,8
frize,11,10,11,12,12,12
frizz,10,9,11,11,13,13
frock,10,8,7,7,8,8
frond,7,6,8,7,6,6
front,5,4,7,5,6,6
froom,10,7,6,10,7,7
frore,4,12,4,9,6,6
frory,3,12,3,8,7,7
frosh,6,4,6,6,7,7
frost,6,3,5,6,7,7
froth,9,7,5,6,8,8
frowl,10,9,8,8,8,8
frown,9,8,8,9,9,9
frowy,11,10,9,10,9,9
froze,11,11,4,11,13,13
fruit,7,7,7,8,8,8
frump,11,9,6,9,9,9
frush,9,6,5,7,9,9
fryer,5,8,5,12,12,12
fubby,15,15,15,13,11,11
fubsy,9,6,9,8,7,7
fucus,11,10,9,10,11,11
fuder,13,11,10,7,9,9
fudge,15,12,9,13,8,8
fudgy,13,13,9,8,6,6
fuffy,17,17,16,15,12,12
fugal,12,11,13,11,6,6
fuggy,15,13,9,12,7,7
fugle,11,7,7,7,8,8
fugue,11,9,8,9,8,8
fulah,13,8,11,10,6,6
fully,11,14,11,11,9,9
fulth,7,8,8,6,6,6
fultz,8,9,9,7,7,7
fulup,9,8,8,9,8,8
fulwa,12,10,10,8,6,6
fumer,15,13,9,8,5,5
fumet,10,10,9,8,6,6
fundi,11,9,7,9,6,6
funds,8,8,6,8,8,8
fungi,9,8,7,9,5,5
fungo,10,10,9,8,6,6
funis,6,6,5,6,6,6
funje,9,11,9,10,6,6
funky,12,13,13,13,8,8
funny,11,13,10,10,10,10
fural,8,7,7,5,6,6
furan,9,8,8,6,5,5
furca,6,8,7,7,10,10
furil,8,7,5,4,5,5
furor,4,9,3,5,9,9
furry,12,13,10,11,9,9
furud,10,7,7,4,7,7
furyl,8,7,6,7,6,6
furze,9,8,8,8,9,9
furzy,13,13,13,11,10,10
fused,10,9,8,7,5,5
fusee,5,5,5,8,6,6
fusht,8,7,6,5,5,5
fusil,6,7,6,4,6,6
fussy,11,7,11,11,8,8
fusty,11,10,9,10,10,10
fusus,9,10,8,10,12,12
futwa,6,8,7,8,7,7
fuzzy,16,16,15,15,13,13
gabby,15,13,11,11,7,7
gable,10,8,10,9,5,5
gaddi,11,11,13,10,7,7
gaddi,11,11,13,10,7,7
gadge,7,15,9,8,8,8
gadid,10,11,9,10,6,6
gadus,11,10,10,8,7,7
gaffe,7,13,8,7,7,7
gagee,5,15,9,8,8,8
gager,12,12,13,12,5,5
gagor,10,9,7,6,5,5
gaily,8,10,8,7,5,5
gaine,8,6,5,4,2,2
gains,6,4,7,6,3,3
gaize,9,9,6,5,6,6
galah,8,10,8,7,3,3
galax,11,11,9,8,4,4
galea,5,10,4,7,3,3
galee,4,10,6,8,9,9
galei,5,5,7,5,7,7
galen,8,8,4,3,3,3
galet,8,7,5,4,4,4
galey,12,9,8,6,6,6
galga,9,12,8,11,4,4
galik,8,8,6,5,5,5
galla,9,12,6,9,4,4
galla,9,12,6,9,4,4
galli,7,7,8,7,5,5
gally,11,12,8,8,4,4
galop,8,7,8,7,3,3
gamba,11,12,8,8,3,3
gamic,7,9,7,6,4,4
gamin,9,9,7,6,3,3
gamma,10,13,6,9,4,4
gammy,13,10,10,9,5,5
gamut,9,10,7,6,6,6
ganam,9,7,4,4,3,3
ganch,10,8,7,4,3,3
ganda,11,9,6,7,4,4
ganef,12,11,8,6,5,5
ganga,10,12,8,11,9,9
ganga,10,12,8,11,9,9
gange,5,11,8,7,6,6
ganja,12,11,7,8,5,5
gansy,8,6,8,7,6,6
ganta,7,11,5,9,3,3
ganza,11,10,8,9,6,6
gaper,11,10,11,10,4,4
gapes,8,8,9,8,7,7
gappy,14,11,11,11,9,9
garad,11,11,8,7,4,4
garce,6,4,4,6,6,6
gardy,12,11,11,10,6,6
gareh,10,9,7,6,4,4
garle,5,5,4,3,5,5
garoo,8,11,7,8,3,3
garse,8,6,8,7,4,4
garth,13,11,9,8,4,4
garum,10,9,7,6,4,4
gasan,8,9,11,6,3,3
gashy,10,10,9,6,5,5
gaspy,9,9,9,7,7,7
gassy,9,8,10,8,6,6
gatch,14,10,12,10,4,4
gated,8,9,7,6,4,4
gater,12,11,12,9,3,3
gatha,6,8,5,8,5,5
gator,9,8,4,3,4,4
gauby,11,11,10,10,8,8
gaudy,8,9,10,10,7,7
gauge,6,10,6,5,5,5
gault,7,5,5,4,5,5
gault,7,5,5,4,5,5
gaumy,10,10,8,7,5,5
gaunt,9,9,9,7,3,3
gaura,4,7,5,8,6,6
gauss,5,7,6,6,7,7
gauze,6,9,7,6,7,7
gauzy,12,12,13,13,11,11
gavel,12,9,10,8,5,5
gavia,10,10,9,10,7,7
gawby,15,11,11,11,9,9
gawky,14,12,12,12,10,10
gayal,11,11,9,7,4,4
gazee,6,14,10,9,9,9
gazel,12,10,10,9,6,6
gazer,13,11,13,11,6,6
gazon,12,12,11,10,4,4
gease,7,8,8,7,5,5
gebur,8,7,8,7,5,5
gecko,8,7,10,8,5,5
geese,6,11,6,8,8,8
geest,6,6,6,6,7,7
geira,6,4,7,4,5,5
gekko,9,9,11,11,6,6
gelid,7,7,7,6,7,7
gelly,10,9,7,10,6,6
gemel,7,7,7,4,5,5
gemma,8,6,8,5,4,4
gemma,8,6,8,5,4,4
gemmy,11,12,10,11,4,4
gemot,8,7,8,5,4,4
gemul,9,6,8,5,6,6
genal,8,5,6,5,3,3
genep,9,9,7,6,5,5
