word,SINGLE_STRATEGY,WEIGHTED_SINGLE,DOUBLE_STRATEGY,WEIGHTED_DOUBLE,TRIPLE_STRATEGY,WEIGHTED_TRIPLE
agree,4,5,5,6,3,3
agria,4,8,3,8,4,4
agrin,6,5,6,5,3,3
agrom,6,7,6,5,2,2
agsam,6,6,7,6,2,2
aguey,9,9,10,9,5,5
agush,8,4,9,6,5,5
agust,7,4,7,5,6,6
ahead,5,8,7,6,7,7
aheap,5,9,8,7,8,8
ahind,7,5,8,6,4,4
ahint,6,4,6,5,3,3
ahmed,9,7,5,6,5,5
ahmet,9,7,6,5,5,5
ahong,8,7,7,6,5,5
ahsan,5,3,6,4,9,9
ahull,8,6,4,6,7,7
ahunt,6,5,7,7,4,4
ahura,5,6,5,6,4,4
ahush,7,5,10,7,6,6
ahwal,8,8,6,6,7,7
aider,4,3,6,6,5,5
aides,5,2,5,4,4,4
ailie,4,3,3,4,7,7
aillt,6,5,3,4,6,6
aimak,7,8,6,5,3,3
aimee,4,4,7,5,4,4
aimer,5,4,7,8,3,3
ainoi,4,5,6,6,4,4
airan,3,4,3,5,4,4
airer,2,3,3,5,7,7
aisle,5,2,6,4,4,4
aitch,7,3,5,6,4,4
aiwan,4,6,4,6,5,5
aizle,6,3,7,6,7,7
ajaja,10,14,8,12,11,11
ajaja,10,14,8,12,11,11
ajari,4,6,4,9,5,5
ajava,9,13,7,11,10,10
ajhar,8,9,7,10,6,6
ajuga,8,11,7,8,4,4
akala,6,8,4,7,4,4
akali,3,5,3,5,3,3
akasa,3,5,6,6,8,8
akebi,5,4,6,7,7,7
akeki,9,5,9,8,8,8
akkad,10,11,7,6,10,10
aknee,4,4,7,10,9,9
akpek,10,9,10,9,9,9
akule,8,5,6,9,8,8
akund,8,6,7,8,5,5
alack,6,7,6,8,5,5
alada,5,8,3,8,8,8
alain,3,8,3,7,2,2
alaki,5,7,3,6,5,5
alala,4,9,2,11,9,9
alala,4,9,2,11,9,9
alamo,5,6,5,8,3,3
aland,6,6,3,7,2,2
alani,4,5,2,5,3,3
alans,3,4,4,4,4,4
alarm,5,5,3,6,2,2
alary,4,4,2,5,3,3
alate,3,5,4,5,2,2
alawi,6,8,4,7,6,6
alban,7,7,4,5,5,5
alban,7,7,4,5,5,5
albee,5,8,5,7,8,8
albin,7,5,6,8,8,8
album,10,7,7,9,6,6
albus,8,7,8,7,6,6
albyn,7,6,7,8,7,7
alcae,4,7,5,4,5,5
alces,7,5,7,5,6,6
alcor,6,5,4,3,5,5
alder,6,5,4,4,7,7
aldim,7,6,6,7,4,4
aldol,7,7,4,5,6,6
aldus,7,6,7,6,7,7
aleak,3,6,4,4,4,4
aleck,7,5,5,4,6,6
aleft,6,5,6,5,5,5
aleph,6,4,6,5,7,7
alert,2,3,2,3,5,5
aleut,5,4,5,4,4,4
alfet,7,6,7,3,6,6
alfur,7,5,5,4,7,7
algae,5,8,6,4,4,4
algal,7,11,3,8,4,4
algic,9,5,6,7,5,5
algic,9,5,6,7,5,5
algid,9,8,6,7,6,6
algin,8,6,8,10,4,4
algol,8,8,4,5,4,4
algor,7,6,5,4,3,3
algum,9,8,6,8,3,3
alias,5,5,6,3,5,5
alibi,6,6,7,10,10,10
alice,7,4,5,6,6,6
alick,8,4,6,6,5,5
alida,5,4,4,8,4,4
alids,6,4,6,4,4,4
alien,4,2,3,3,5,5
align,5,3,4,5,4,4
alike,8,5,7,8,7,7
alima,6,5,3,8,3,3
aline,3,2,3,4,2,2
alish,7,4,5,4,4,4
aliso,5,2,6,5,5,5
alisp,8,5,7,6,6,6
alist,6,3,4,3,4,4
alite,6,3,4,4,5,5
alive,9,6,6,7,4,4
alkes,8,6,6,4,7,7
alkyd,9,9,7,9,5,5
alkyl,8,9,5,6,5,5
allah,8,10,4,5,6,6
allan,5,8,2,3,3,3
allan,5,8,2,3,3,3
allay,7,10,3,4,5,5
allen,4,5,3,3,4,4
aller,5,6,2,3,6,6
alley,7,7,4,4,5,5
allie,5,3,3,3,6,6
allot,5,5,4,3,6,6
allow,8,7,5,4,7,7
alloy,7,6,6,5,5,5
allyl,7,9,6,5,4,4
alman,6,6,3,3,2,2
almon,8,4,5,6,3,3
almon,8,4,5,6,3,3
almud,9,6,5,8,3,3
almug,9,7,6,9,2,2
alnus,5,4,5,5,5,5
alody,9,7,8,7,5,5
aloed,5,4,4,4,5,5
aloft,6,4,9,5,6,6
alogy,8,6,10,8,4,4
aloid,7,6,6,7,9,9
aloin,4,5,4,5,4,4
alois,5,4,5,4,4,4
aloma,4,8,4,9,4,4
alone,4,3,4,5,3,3
along,5,4,4,5,4,4
aloof,9,9,8,9,10,10
alosa,3,3,5,5,4,4
alose,6,2,4,3,4,4
aloud,8,6,7,6,8,8
alowe,8,5,5,6,7,7
alpax,10,9,8,8,7,7
alpen,5,4,4,4,6,6
alpha,8,8,3,7,6,6
alpid,8,7,5,6,10,10
altar,4,5,3,3,5,5
alter,5,4,3,3,4,4
altho,6,5,7,6,5,5
altin,6,4,5,5,5,5
altun,6,4,6,6,6,6
aluco,7,7,6,7,8,8
alula,5,8,4,9,6,6
alure,3,3,3,4,6,6
aluta,5,5,5,5,5,5
alvah,9,9,10,6,5,5
alvan,8,7,5,4,6,6
alvar,5,6,5,4,3,3
alvin,9,7,7,9,7,7
alvus,9,8,10,9,9,9
alway,8,9,9,7,9,9
amaas,2,8,2,6,5,5
amadi,7,5,5,9,4,4
amaga,8,12,6,10,2,2
amain,4,9,3,6,2,2
amala,5,10,3,7,5,5
amang,6,6,3,7,1,1
amani,5,6,3,8,2,2
amapa,7,11,5,7,7,7
amara,3,7,2,9,4,4
amass,4,6,4,8,6,6
amati,6,10,4,5,3,3
amaze,9,10,7,13,5,5
amban,8,7,7,5,3,3
ambar,7,7,7,6,3,3
ambay,8,9,6,6,4,4
amber,8,6,7,7,4,4
ambit,9,5,6,5,3,3
amble,8,7,5,8,5,5
ambon,7,6,7,8,3,3
ambos,8,6,8,6,6,6
ambry,6,6,6,6,6,6
ameed,4,8,6,6,3,3
ameen,3,6,5,6,4,4
amelu,5,5,5,6,4,4
amend,6,4,5,6,4,4
amene,4,5,4,7,3,3
ament,5,3,4,6,3,3
amhar,7,8,6,7,4,4
amice,6,7,7,6,3,3
amide,7,5,6,7,2,2
amido,8,4,8,7,3,3
amigo,9,5,9,6,2,2
amine,4,3,4,5,2,2
amini,5,4,6,7,4,4
amino,5,3,7,6,3,3
amish,8,4,6,6,4,4
amiss,7,5,7,6,5,5
amita,5,5,4,6,3,3
amity,6,4,6,6,3,3
amman,9,9,6,7,2,2
ammer,10,11,9,9,5,5
amnia,5,9,4,8,3,3
amnic,5,4,5,6,3,3
amoke,11,6,8,8,5,5
amole,6,5,4,7,4,4
among,7,6,7,6,2,2
amort,3,4,3,4,5,5
amour,6,5,6,5,5,5
amove,12,9,7,8,6,6
amper,11,9,8,8,3,3
ample,7,6,6,9,6,6
amply,9,6,6,8,6,6
ampul,8,6,5,6,6,6
ampyx,9,9,9,11,5,5
amsel,6,3,4,3,5,5
amuck,9,8,8,6,7,7
amula,6,6,4,6,4,4
amuse,7,3,6,5,3,3
amuze,9,7,7,9,4,4
amvis,8,6,8,6,5,5
amylo,7,6,6,6,7,7
anabo,5,5,4,6,3,3
anama,4,8,4,9,2,2
anana,3,6,3,10,6,6
anasa,2,4,5,5,4,4
ancha,7,9,2,4,4,4
ancon,7,6,5,7,6,6
andre,4,3,4,6,4,4
anear,2,3,3,3,3,3
anele,3,6,3,4,6,6
anend,5,4,5,6,5,5
anent,4,3,4,5,5,5
angel,5,4,4,4,3,3
anger,4,3,4,4,2,2
angie,5,3,5,5,4,4
angka,8,7,4,9,2,2
angle,5,4,6,6,3,3
angor,4,4,4,3,3,3
angry,5,4,5,6,3,3
angst,4,3,5,4,5,5
angus,6,4,7,5,4,4
aniba,6,7,5,8,7,7
anice,5,4,5,5,3,3
anigh,6,4,8,6,3,3
anile,4,3,4,4,4,4
anima,5,4,4,6,3,3
anime,6,5,6,8,4,4
animi,5,5,8,7,6,6
anion,4,5,6,6,7,7
anise,3,2,4,4,6,6
anita,4,5,3,5,3,3
anjan,4,7,4,12,5,5
anjou,9,5,7,7,8,8
ankee,6,5,6,6,6,6
anker,5,4,5,5,4,4
ankle,6,5,7,7,7,7
ankou,8,4,6,6,7,7
ankus,7,5,8,6,7,7
annal,3,5,4,3,3,3
annam,5,7,6,5,3,3
annat,4,6,4,5,3,3
annet,6,4,5,4,4,4
annex,7,6,6,6,5,5
annie,4,4,6,6,4,4
annoy,7,6,6,7,8,8
annul,6,5,5,3,5,5
anode,5,4,5,6,6,6
anoil,4,5,4,3,4,4
anole,4,3,5,5,5,5
anoli,5,4,5,5,5,5
anomy,7,6,7,8,5,5
anous,5,3,6,4,7,7
ansar,3,3,4,3,4,4
ansel,4,3,3,2,4,4
anser,3,2,3,3,3,3
antal,4,4,3,3,2,2
antar,4,4,2,5,3,3
antes,5,3,4,4,3,3
antic,5,3,5,5,4,4
anton,6,5,4,7,6,6
antra,2,4,4,5,3,3
antre,3,2,3,4,3,3
antum,8,6,6,6,3,3
anura,3,4,3,5,6,6
anury,4,3,4,5,4,4
anvil,5,6,5,4,5,5
anzac,5,10,5,6,6,6
aoife,8,6,8,9,9,9
aorta,2,5,3,4,4,4
aotea,2,4,5,5,4,4
aotes,4,3,6,5,4,4
aotus,5,5,6,5,3,3
apace,6,7,5,5,8,8
apaid,7,8,4,8,4,4
apama,7,10,5,8,7,7
apart,6,5,6,5,3,3
apeak,4,7,7,5,6,6
apert,3,4,3,4,4,4
aperu,3,4,3,5,5,5
apery,4,5,4,6,4,4
aphid,7,7,8,7,11,11
aphis,7,5,7,5,5,5
aphra,6,8,5,5,5,5
apian,5,5,5,5,7,7
apiin,5,5,8,7,7,7
apina,5,6,3,8,3,3
aping,7,5,6,6,2,2
apios,7,3,7,5,5,5
apish,9,5,6,7,5,5
apism,7,5,6,7,5,5
apium,8,4,7,9,5,5
apnea,3,8,4,9,4,4
apoda,6,10,5,7,7,7
apoop,8,8,9,11,10,10
aport,4,5,5,6,5,5
apout,7,6,7,7,6,6
appay,8,9,9,9,8,8
appet,10,9,6,8,7,7
apple,10,8,8,9,7,7
apply,10,7,7,9,5,5
april,5,4,4,3,9,9
apron,5,5,7,4,5,5
apsis,7,6,7,7,6,6
aptal,6,5,4,5,5,5
aptly,7,4,4,5,5,5
araba,4,10,3,7,8,8
araby,7,9,7,8,7,7
araca,3,11,2,6,6,6
arado,5,6,5,6,5,5
arain,2,5,2,7,3,3
arake,4,7,6,9,4,4
aramu,6,6,4,6,3,3
arara,1,13,1,12,10,10
arara,1,13,1,12,10,10
arati,3,3,3,5,3,3
araua,2,7,5,8,5,5
arawa,5,12,4,9,7,7
arbor,5,8,4,8,7,7
arche,8,5,6,4,6,6
archy,8,9,8,6,5,5
archy,8,9,8,6,5,5
arcos,6,3,7,5,6,6
ardea,3,7,3,7,3,3
ardeb,8,7,7,6,7,7
ardor,4,6,5,9,5,5
ardri,2,3,2,6,6,6
aread,5,6,5,4,5,5
areal,3,3,4,2,3,3
arean,4,4,2,3,5,5
arear,2,7,2,5,6,6
areca,3,5,3,4,3,3
areek,4,8,5,6,4,4
areel,3,6,4,3,4,4
arena,2,6,2,4,2,2
arend,6,4,5,6,4,4
areng,7,5,3,4,3,3
arent,5,3,4,4,3,3
arete,4,3,3,4,4,4
argal,6,7,5,5,3,3
argas,4,5,5,4,4,4
argel,6,4,6,5,3,3
argid,7,3,7,7,6,6
argil,8,4,8,4,5,5
argol,8,4,7,4,4,4
argon,7,5,6,5,3,3
argot,9,5,5,5,5,5
argue,7,4,9,9,3,3
argus,6,4,6,4,5,5
arhar,5,11,5,7,7,7
arhat,6,6,4,6,4,4
arian,4,4,3,3,5,5
ariel,5,3,4,2,3,3
ariel,5,3,4,2,3,3
aries,4,2,5,3,3,3
arioi,4,5,7,8,7,7
arion,4,3,4,5,4,4
ariot,6,4,5,5,5,5
arise,5,1,4,3,3,3
arist,5,2,4,3,3,3
arite,6,2,5,4,4,4
arius,6,3,5,4,4,4
arjun,6,7,5,6,5,5
arkab,8,9,8,7,6,6
arles,6,2,5,3,5,5
armed,7,5,4,5,5,5
armer,3,6,3,9,4,4
armet,6,4,5,3,4,4
armil,7,3,4,3,3,3
armor,4,7,4,7,4,4
arneb,4,6,4,5,4,4
arnee,3,7,3,6,5,5
arnut,4,4,4,6,4,4
aroar,3,9,4,4,7,7
arock,7,7,7,5,6,6
aroid,5,2,6,7,7,7
aroma,5,8,3,7,3,3
aroon,5,6,3,6,6,6
arose,6,2,5,4,4,4
arpen,4,5,3,4,3,3
arrah,6,12,6,6,8,8
arras,3,6,3,2,6,6
arras,3,6,3,2,6,6
arrau,4,7,4,6,6,6
array,5,11,5,8,7,7
arrie,3,3,3,3,5,5
arris,4,2,3,3,4,4
arrow,4,7,4,3,7,7
arses,5,3,6,3,4,4
arsis,6,3,6,5,5,5
arsle,6,2,5,3,4,4
